Tool Name,Story,Works with,No.of actions,Author
Pulsedive,Analyze an IP in many services at once,"AbuseIPDB, APIVoid, GreyNoise, Jira Software, Pulsedive, VirusTotal",13,Michael Tolan
Pulsedive,Lookup IOCs in different tools via Slackbot,"Abuse.ch, AbuseIPDB, Anomali ThreatStream, CrowdStrike, Hunter.io, Hybrid Analysis, MetaDefender, Pulsedive, Slack, URLScan.io, VirusTotal",66,Emily Nguyen
Pulsedive,"Ingest, analyze and store IOCs with Tines","AbuseIPDB, CrowdStrike, GreyNoise, Pulsedive, Sublime Security, Tines, URLScan.io, VirusTotal",45,Michael Tolan
Pulsedive,Create an IP enrichment API,"GreyNoise, Pulsedive, VirusTotal",6,null
Pulsedive,Analyze IOCs in Pulsedive,Pulsedive,19,Michael Tolan
Pulsedive,Add IOCs from Pulsedive to Azure Sentinel,"Microsoft Azure, Pulsedive",5,null
Pulsedive,Add IOCs from Pulsedive threats to Azure Cosmos DB,"Microsoft Azure, Pulsedive",5,null
Qualys,Manage Qualys vulnerabilities using Jira Service Management and Slack,"Jamf Pro, Jira Service Management, Qualys, Slack, Tines",81,Caleb Williams
Qualys,Check CrowdStrike agent is installed on new devices provisioned,"CrowdStrike, Qualys, ServiceNow, Slack",18,Shaun Finn
Qualys,Manage Qualys EC2 vulnerabilities in Jira,"Jira Software, Qualys",25,null
Qualys,"Handle, enrich and notify teams of new Qualys alerts","Jira Software, Qualys, Slack",20,null
Qualys,Generate new vulnerability scan reports with Qualys,Qualys,15,null
Qualys,Fetch & record significant vulnerabilities from Qualys Container Security,"Jira Software, Qualys",13,Aaron Sandow
Qualys,"Ingest Opsgenie alerts, enrich data, and create Jira issue with notifications in Slack","Jira Software, Microsoft, OpsGenie, Qualys, Slack, URLScan.io, VirusTotal",16,null
Tavily,Triage alerts with agents using SOPs in Confluence,"AbuseIPDB, Confluence, CrowdStrike, EmailRep, Okta, Slack, Tavily, Tines, URLScan.io, VirusTotal",8,Pete Wrenn
Tavily,Write and improve AI prompts with an AI chatbot,Tavily,1,Michael Tolan
Tavily,Process and search documents in Elasticsearch with an agent,"Elastic, Tavily",30,Michael Tolan
Tavily,Perform deep research on a topic using an agent with Tavily,Tavily,5,null
Tavily,Troubleshoot broken Tines actions using an AI Agent chatbot,"Microsoft Teams, Slack, Tavily, Tines",14,Michael Tolan
Tavily,Search the internet with Tavily via Slack,"Slack, Tavily",4,Michael Tolan
Tavily,Enrich new Airtable company records using Tavily searches,"Airtable, Tavily",17,Michael Tolan
Anomali ThreatStream,Lookup IOCs in different tools via Slackbot,"Abuse.ch, AbuseIPDB, Anomali ThreatStream, CrowdStrike, Hunter.io, Hybrid Analysis, MetaDefender, Pulsedive, Slack, URLScan.io, VirusTotal",66,Emily Nguyen
Anomali ThreatStream,Import RSS feeds into Anomali Threatstream as threat bulletins,Anomali ThreatStream,14,null
Anomali ThreatStream,Create incidents in Anomali Threatstream from Recorded Future alerts,"Anomali ThreatStream, Recorded Future",7,null
Anomali ThreatStream,Send SpyCloud alerts to Anomali Threatstream,"Anomali ThreatStream, SpyCloud",9,Canva
Anomali ThreatStream,Integrate Anomali Threat Intelligence with Sublime Security's email detection signatures,"Anomali ThreatStream, Sublime Security",39,Dan Le
Anomali ThreatStream,"Analyze, document and triage suspicious emails with Tines cases and records","AlienVault OTX, Anomali ThreatStream, CrowdStrike, Hybrid Analysis, NextDNS, PassiveTotal, VirusTotal",113,Rosie Halpin
Microsoft Defender,Advanced Live Response tool for Microsoft Defender powered by Tines pages,Microsoft Defender,112,Horia Todoran
Microsoft Defender,Retrieve new alerts from Microsoft Defender and create issues in Jira,"Jira Software, Microsoft Azure, Microsoft Defender",21,Michael Tolan
Microsoft Defender,Isolate machines in Microsoft Defender,Microsoft Defender,23,Conor Dunne
Microsoft Defender,Execute a script on an endpoint with Microsoft Defender Live Response,Microsoft Defender,21,Conor Dunne
Microsoft Defender,Retrieve alerts from Microsoft Defender for Cloud and create detailed issue in Jira,"Jira Software, Microsoft Azure, Microsoft Defender",20,Michael Tolan
Microsoft Defender,Investigate and remediate malware with CrowdStrike FalconX and Microsoft Defender,"CrowdStrike, Jira Software, Microsoft Defender, Slack",34,null
OpsGenie,Create on-call Slack channels using OpsGenie groups,"OpsGenie, Slack",10,null
OpsGenie,Handover Oncalls in Opsgenie with Tines Cases,"OpsGenie, Slack, Tines",17,null
OpsGenie,Handle Opsgenie alerts and create a Tines case,"OpsGenie, Slack",24,null
OpsGenie,Receive and correlate alerts from Sysdig,"OpsGenie, PagerDuty, Slack, Sysdig",10,null
OpsGenie,"Ingest Opsgenie alerts, enrich data, and create Jira issue with notifications in Slack","Jira Software, Microsoft, OpsGenie, Qualys, Slack, URLScan.io, VirusTotal",16,null
OpsGenie,Check Workday for unauthorized travel and alert in Slack,"Elastic, Jumpcloud, OpsGenie, Slack, Workday",34,Muhammet Tekbicak
Orca Security,Correlate Rapid7 vulnerability data across various tools and report in Jira,"Jira Software, Manage Engine, Orca Security, Rapid7",125,Emily Nguyen
Orca Security,"Detect, log and remediate AWS alerts with Orca Security and Jira","AWS, Jira Software, Orca Security, Slack",21,null
Orca Security,Run & track vulnerability scans with Orca Security,"Jira Software, Orca Security",12,null
Orca Security,Identify and resolve false positive AWS alerts in Orca,"AWS, Orca Security, Slack",23,null
Orca Security,Run asset vulnerability scans & add evidence to compliance system,"Drata, Orca Security",24,null
Orca Security,Search for vulnerable or malicious dependencies across services,"Artifactory, GitLab, Microsoft Azure, Orca Security, Rapid7, Sonatype",113,Emily Nguyen
Shodan,Analyse an IP address,"Shodan, VirusTotal",5,Conor Dunne
Shodan,Discover and monitor unmanaged devices using Axonius,"Axonius, Jira Software, Shodan",10,null
Shodan,Analyse an IP in Shodan,Shodan,10,Michael Tolan
Shodan,Check IPs in Shodan for unexpected open ports,"Shodan, TheHive Project",13,null
Shodan,Query Shodan for findings and alert on them using Slack and Jira,"Jira Software, Shodan, Slack, Splunk",11,null
Shodan,Search Shodan using Shodan Query Language,Shodan,8,Michael Tolan
Zscaler,Add a domain to a blocklist in Zscaler,"Slack, Zscaler",15,Conor Dunne
Zscaler,Use AI to create cases and act on CrowdStrike alerts,"CrowdStrike, Okta, PagerDuty, Zscaler",87,Conor Dunne
Zscaler,Request URLs to be added to Zscaler Allowlist,"URLScan.io, Zscaler",13,null
Zscaler,Refresh Okta zones with latest active Zscaler IP ranges,"Okta, Zscaler",16,null
Zscaler,Enrich clicked URLs from Proofpoint and block with Zscaler,"AbuseIPDB, Jira Software, Proofpoint, URLScan.io, Zscaler",13,Michael Tolan
Zscaler,"Ingest, enrich, and remediate ExtraHop alerts and block suspicious URLs with Zscaler","AbuseIPDB, Extrahop, Microsoft Teams, URLScan.io, VirusTotal, Zscaler",15,null
Abuse.ch,Lookup IOCs in different tools via Slackbot,"Abuse.ch, AbuseIPDB, Anomali ThreatStream, CrowdStrike, Hunter.io, Hybrid Analysis, MetaDefender, Pulsedive, Slack, URLScan.io, VirusTotal",66,Emily Nguyen
Abuse.ch,Add URLhaus URLS to Cisco Umbrella deny list,"Abuse.ch, Cisco",5,null
Abuse.ch,Add JA3 client blocklist from Abuse.ch to AWS firewall rule,"Abuse.ch, AWS",17,null
Abuse.ch,Search for IOCs and create incidents in DataDog,"Abuse.ch, DataDog",16,Conor Dunne
Abuse.ch,Analyze a hash with YARA rules using Abuse.ch YARAify,Abuse.ch,13,Michael Tolan
Ansible,Manage SSH users via Ansible,Ansible,6,Conor Dunne
Ansible,Monitor a host's resources using playbooks in Ansible Tower,"Ansible, Tines",14,Conor Dunne
Ansible,Run a job in Ansible and retrieve results,Ansible,17,null
Ansible,Run a job using Ansible Tower,"Ansible, Slack",11,null
Ansible,Update Linux system packages using Ansible Tower,"Ansible, Slack",16,Conor Dunne
Anvilogic,Use AI to Create Tines Case from Anvilogic Alerts,Anvilogic,25,null
Anvilogic,AI Event Triage with Anvilogic Copilot,Anvilogic,21,Chris Burkhart
Anvilogic,AI Entity Enrichment with Anvilogic Copilot,Anvilogic,20,Chris Burkhart
Anvilogic,Analyze Anvilogic events of interest,"Anvilogic, Splunk",27,Chris Burkhart
Anvilogic,Gather correlated Splunk searches and add to Anvilogic use cases,"Anvilogic, Splunk",10,null
Cisco,Monitor security advisories,"Cisco, Palo Alto Networks",15,null
Cisco,Add URLhaus URLS to Cisco Umbrella deny list,"Abuse.ch, Cisco",5,null
Cisco,"Extract, analyze, & enrich IPs from a WebEx chatbot","Cisco, Webex",7,null
Cisco,Capture all offline devices with Cisco Umbrella,Cisco,6,null
Cisco,Cisco Secure Endpoint weekly audit,Cisco,14,Tom Power
Criminal IP,Analyze IPs & search for indicators of compromise,"Criminal IP, Jira Software, URLScan.io",29,null
Criminal IP,Analyze attack surface for an organization with Criminal IP,"Criminal IP, Tines",22,null
Criminal IP,Scan a URL in Criminal IP,"Criminal IP, Slack",11,null
Criminal IP,Enrich IPs recorded in Airtable,"AbuseIPDB, Airtable, Criminal IP",14,Michael Tolan
Criminal IP,Scan a domain with CriminalIP,Criminal IP,16,Michael Tolan
Google Drive,Remove public access permissions in Google Drive,"Google, Google Drive",12,Michael Tolan
Google Drive,Retrieve a directory from an endpoint using CrowdStrike and save to Google Drive,"CrowdStrike, Google, Google Drive",22,Conor Dunne
Google Drive,Create versioned backups on Google Drive files using Box,"Google, Google Drive",13,Conor Dunne
Google Drive,Respond to Google Drive public exposure alerts in Reco and secure files,"Google, Google Drive, Reco, Slack",46,null
Google Drive,Monitor user activity in Google Drive,"Google, Google Drive",18,Christopher Toole
HashiCorp,Create Terraform Infrastructure as Code,"GitHub, HashiCorp, HashiCorp Terraform, ServiceNow, Slack",16,null
HashiCorp,Initiate Terraform request to create Infrastructure as Code,"HashiCorp, HashiCorp Terraform",5,null
HashiCorp,Respond to & configure Terraform Cloud run task,"HashiCorp, HashiCorp Terraform, Jira Software, Slack",16,null
HashiCorp,Provision AWS and Vault access via Okta,"AWS, HashiCorp, Okta",25,Zach Perry
HashiCorp,Monitor the health of a Hashicorp Vault cluster,"HashiCorp, Slack",13,Nate Adams
Knowbe4,Send KnowBe4 training reminders via Slack,"Knowbe4, Slack",23,null
Knowbe4,Analyze and manage phishing alerts with KnowBe4 PhishER and Talos,Knowbe4,23,null
Knowbe4,Report KMSAT events in KnowBe4 with pages,Knowbe4,9,null
Knowbe4,Manage Okta user groups and create Jira tickets via Slack,"AWS, Jira Software, Knowbe4, Okta, Slack",140,Sandeep Kumar
Knowbe4,Notify and assign training based on Harmonic Security alerts,"Harmonic Security, Knowbe4, Notion, Slack, Tines",17,Harmonic Security
LimaCharlie,Determine severity of LimaCharlie detections and triage,"Jira Software, LimaCharlie, Slack",21,null
LimaCharlie,Manage Velociraptor artifact collection via Slack,"LimaCharlie, Slack, Velociraptor",9,Conor Dunne
LimaCharlie,Manage LimaCharlie sensor isolation with Tines pages,LimaCharlie,11,null
LimaCharlie,Run remote commands in LimaCharlie,LimaCharlie,14,null
LimaCharlie,Retrieve blocked DNS queries from AdGuard and enrich with VirusTotal and LimaCharlie,"AdGuard, LimaCharlie, VirusTotal",15,Conor Dunne
Material Security,Triage Material Security cases via Slack,"Jira Software, Material Security, Slack, Tines, VirusTotal",27,Shasheen Bandodkar
Material Security,Analyze phishing emails with Material Security,Material Security,32,null
Material Security,Triage email attachments with Material Security,"Material Security, VirusTotal",13,null
Material Security,Query for & protect emails in Material Security,Material Security,24,null
Material Security,Detect unusual user activity with Material Security,"Material Security, Slack, Tines",11,Material Security
MISP,Analyze SMS phishing with the AI action,"MISP, Slack, URLScan.io, VirusTotal",33,Michael Fischler
MISP,Search and view Indicators of Compromise from MISP events,MISP,12,Conor Dunne
MISP,Search for IOCs in MISP default feeds,MISP,8,Sif Baksh
MISP,Search for IoCs in a network when a MISP attribute is created,"CrowdStrike, DataDog, MISP",15,Conor Dunne
MISP,Initiate MISP investigation from a Tines case,MISP,20,Conor Dunne
Salesforce,Send Bulk Updates To Salesforce,Salesforce,12,null
Salesforce,Manage Salesforce lead capture with Tines pages and cases,"Salesforce, Tines",46,Conor Dunne
Salesforce,Get info from Salesforce,Salesforce,11,null
Salesforce,Add ID.me contacts to SalesForce,"ID.me, Salesforce",4,null
Salesforce,Create a Netsuite sales order for a won Salesforce opportunity,"Netsuite, Salesforce",16,Peter Coleman
Snyk,Track Snyk issues in Jira,"Jira Software, Snyk",16,null
Snyk,Query Snyk & gather a vulnerability report,"Jira Software, Snyk",13,null
Snyk,Monitor and delete old CLI projects in Snyk,Snyk,9,Andrew Orr Ewing
Snyk,Review Snyk organization findings with Jira issues,"Jira Software, Snyk",66,Andrew Orr Ewing
Snyk,Schedule SBOM and SPDX creation in Snyk and store in Sharepoint,Snyk,32,Andrew Orr Ewing
Sysdig,Detect and Enrich Sysdig Alerts with Risky User with Greynoise and Deny User from AWS Console Login,"AWS, GreyNoise, Sysdig",11,Manuel Boira
Sysdig,Receive and correlate alerts from Sysdig,"OpsGenie, PagerDuty, Slack, Sysdig",10,null
Sysdig,Create issues in Jira for Sysdig vulnerability findings,"Jira Software, Sysdig",13,null
Sysdig,Handle cloud compliance notifications with Sysdig,"Jira Software, Sysdig",4,null
Sysdig,"Sysdig Cloud Detection, Document with Jira, and Respond with Tines","AWS, GreyNoise, Jira Software, Kubernetes, Sysdig, Tines",40,Manuel Boira
TheHive Project,Enrich CrowdStrike incidents with VirusTotal & send to TheHive,"CrowdStrike, TheHive Project, VirusTotal",25,Conor Dunne
TheHive Project,Notify users of open tickets in TheHive,"Slack, TheHive Project",10,null
TheHive Project,Search & sort SLA breaches in TheHive,TheHive Project,17,null
TheHive Project,Check IPs in Shodan for unexpected open ports,"Shodan, TheHive Project",13,null
TheHive Project,Use Slack to record specific Wiz insights in TheHive,"Slack, TheHive Project, Wiz",26,null
Thinkst Canary,Isolate Machines in Cybereason from Thinkst Canary Alerts,"Cybereason, Thinkst Canary",24,Shaun Finn
Thinkst Canary,"Hunt, contain, and escalate threats with Thinkst Canary",Thinkst Canary,31,null
Thinkst Canary,Check Thinkst Canary alerts in GreyNoise and record in runZero,"GreyNoise, runZero, Thinkst Canary",7,Justin Varner
Thinkst Canary,Enrich Canarytoken alerts and notify the security team,"AbuseIPDB, Thinkst Canary",12,Dennis Chow
Thinkst Canary,Deploy Canarytoken using CrowdStrike RTR,"CrowdStrike, Slack, Thinkst Canary",7,Tyron Kemp
APIVoid,Analyze an IP in many services at once,"AbuseIPDB, APIVoid, GreyNoise, Jira Software, Pulsedive, VirusTotal",13,Michael Tolan
APIVoid,Get IP address information,"APIVoid, IPQualityScore",9,Michael Tolan
APIVoid,Monitor website certificates for expiration,"APIVoid, Jira Software, Slack",26,Conor Dunne
APIVoid,Analyze a domain with APIVoid,APIVoid,23,Michael Tolan
Censys,Lookup and retrieve subdomain certificate information using Censys,Censys,7,Conor Dunne
Censys,Query Censys for known Command & Control IPs add as IoCs in CrowdStrike,"Censys, CrowdStrike",16,Michael Tolan
Censys,Perform free text Censys searches via a Slack channel,"Censys, Slack",11,Conor Dunne
Censys,Search free Cobalt Strike IoC feeds for a value,Censys,10,Sif Baksh
Confluence,Triage alerts with agents using SOPs in Confluence,"AbuseIPDB, Confluence, CrowdStrike, EmailRep, Okta, Slack, Tavily, Tines, URLScan.io, VirusTotal",8,Pete Wrenn
Confluence,Document Tines stories in Atlassian Confluence,"Confluence, Slack",72,Tyler Talaga
Confluence,Create shift handover notes in Confluence and send reminders in Slack,"Confluence, Jira Software, Slack",13,Michael Tolan
Confluence,Export Confluence pages using Tines pages,Confluence,16,Dermot Bruce-Agbeko
Discord,Manage RSS and YouTube subscriptions via Tines and notify on new releases,"Discord, Slack",42,Tyler Wong
Discord,Register and handle Discord interactions,Discord,11,Yannick Gloster
Discord,Monitor Discord servers for leaked secrets and send alerts,Discord,20,Liam Malone
Discord,Manage a Hetzner Minecraft Server via Discord,Discord,35,Yannick Gloster
Gmail,Remove employee access from multiple services using the AI Agent Action,"Gmail, Okta, Slack",4,Conor Dunne
Gmail,Offboard user from Okta and Google using Pages and Records,"Gmail, Google, Okta",72,Lucas Cantor
Gmail,Create email filters for a user in Gmail,"Gmail, Google",8,Conor Dunne
Gmail,Create custom Gmail filters from Sublime Security findings,"Gmail, Google, Sublime Security",14,Conor Dunne
Google Calendar,Send daily Google Calendar reminders in Slack with notes integration,"Google Calendar, Slack",19,Michael Tolan
Google Calendar,Add video conferencing and meeting notes to new Google Calendar events,"Google, Google Calendar, Zoom",22,null
Google Calendar,Send a customised daily briefing in Slack,"Google Calendar, Jira Software, Slack",26,Michael Tolan
Google Calendar,Create and sync Google Calendar events from Notion,"Google Calendar, Notion",23,Yanni Hajioannou
HashiCorp Terraform,Create Terraform Infrastructure as Code,"GitHub, HashiCorp, HashiCorp Terraform, ServiceNow, Slack",16,null
HashiCorp Terraform,Initiate Terraform request to create Infrastructure as Code,"HashiCorp, HashiCorp Terraform",5,null
HashiCorp Terraform,Respond to & configure Terraform Cloud run task,"HashiCorp, HashiCorp Terraform, Jira Software, Slack",16,null
HashiCorp Terraform,Create and manage malware labs using Terraform Cloud,"AWS, HashiCorp Terraform",47,Conor Dunne
Intercom,Communicate across chats in Intercom and Slack,"Intercom, Slack",30,Conor Dunne
Intercom,Monitor Intercom for sensitive content with Nightfall and record in Tines,"Intercom, Nightfall AI, Tines",7,Conor Dunne
Intercom,Sync Intercom conversations with Tines cases,"Intercom, Tines",26,null
Intercom,Track Intercom conversations in Quickbase,"Intercom, Quickbase",7,null
Kandji,Restricting User Access and Patching Vulnerable Devices with Kandji,"Kandji, Okta, Slack, Tines",33,Megan Elsayed
Kandji,Add devices in Kandji to Google Sheets,"Google, Kandji",7,Michael Tolan
Kandji,Sync assets between Kandji and runZero while updating ownership,"Kandji, runZero",18,null
Kandji,Monitor and remediate inactive Kandji devices with Tines Cases,"Kandji, Tines",23,Michael Tolan
Kubernetes,Manage Elasticsearch and GKE clusters via Slack bot,"Argo Workflows, Google, Kubernetes",41,Christopher Cutajar
Kubernetes,"Sysdig Cloud Detection, Document with Jira, and Respond with Tines","AWS, GreyNoise, Jira Software, Kubernetes, Sysdig, Tines",40,Manuel Boira
Kubernetes,Send Slack notifications for Kubernetes pod status changes,"Kubernetes, Slack",13,Conor Dunne
Kubernetes,Transfer Kubernetes manifest ownership via Slack,"Kubernetes, Slack",22,Conor Dunne
Lacework,Investigate & remediate Lacework alerts,"AWS, Jira Software, Lacework",25,null
Lacework,Normalize alerts from multiple sources using ChatGPT,"CrowdStrike, Elastic, Lacework, OpenAI",16,null
Lacework,Add host vulnerabilities in Lacework to Drata controls,"Drata, Lacework",8,null
Lacework,Remediate compliance violations with Lacework,"AWS, Lacework, Slack",12,null
Microsoft Outlook,Cleanup Microsoft Outlook inbox with Tines AI,"Microsoft, Microsoft Outlook",47,Michael Lynn
Microsoft Outlook,Tag Outlook Emails in a Folder Based on VirusTotal Scan Results,"Microsoft Outlook, VirusTotal",8,Sabrina de Silva
Microsoft Outlook,Sync recent Outlook Calendar events to a Notion database,"Microsoft Outlook, Notion",3,Michael Tolan
Microsoft Outlook,Add Notion database entries as Outlook calendar events,"Microsoft, Microsoft Outlook, Notion",4,Michael Tolan
MITRE,Tag Tines cases using MITRE ATT&CK techniques and tactics,MITRE,13,Conor Dunne
MITRE,Generate MITRE ATT&CK Navigator layout from Tines cases,MITRE,9,Conor Dunne
MITRE,Discover new objects in collections provided by the MITRE TAXII server,"MITRE, Slack",10,Conor Dunne
MITRE,Build and search MITRE ATT&CK semantic index in Elastic,"Elastic, MITRE",18,Michael Tolan
Netskope,Monitor large downloads by employees in Netskope and create Jira issues,"Jira Software, Netskope",11,Michael Tolan
Netskope,Update URL lists used by Remote Browser Isolation in Netskope,Netskope,7,null
Netskope,Remove 3rd Party Apps marked for removal in Netskope SSPM,"Microsoft Azure, Netskope, Slack",6,Netskope
Netskope,Alert when Netskope SSPM Posture Score breaches threshold,Netskope,4,Netskope
NextDNS,Analyze and triage suspicious emails with various tools,"CrowdStrike, EmailRep, Jira Software, NextDNS, URLScan.io, VirusTotal",59,Michael Tolan
NextDNS,Fetch & block high-risk domains with DomainTools and NextDNS,"DomainTools, NextDNS",25,DomainTools
NextDNS,"Investigate a URL with URLScan, create a ticket in Jira and take action","AbuseIPDB, CrowdStrike, Jira Software, NextDNS, Phish Report, URLScan.io",41,null
NextDNS,"Analyze, document and triage suspicious emails with Tines cases and records","AlienVault OTX, Anomali ThreatStream, CrowdStrike, Hybrid Analysis, NextDNS, PassiveTotal, VirusTotal",113,Rosie Halpin
Panther,Check IP addresses in Panther & send results via Slack,"AbuseIPDB, Panther, Slack",20,Eoin Magner
Panther,Implement data loss prevention policies,"Google, Panther, Slack",35,null
Panther,Monitor Panther alerts & remediate SSH brute force attacks,Panther,19,Eoin Magner
Panther,Perform SQL searches in Panther,Panther,15,null
Snowflake,Run a query in Snowflake,"Slack, Snowflake, VirusTotal, Zendesk",5,null
Snowflake,Query Snowflake via Slack and return results as CSV,"Slack, Snowflake",12,Michael Tolan
Snowflake,Update Google Sheets With Snowflake Data,"Google Sheets, Snowflake",5,Colm O'Grada
Snowflake,Ingest Tines audit logs into Snowflake,"Snowflake, Tines",13,Michael Tolan
Spotify,"Activate holiday cheer with Shelly, Spotify, and Tines",Spotify,32,Colleen Gallagher
Spotify,Turn on Christmas lights with VeSync and celebrate with Spotify,"Spotify, VeSync",11,null
Spotify,Celebrate new Tines Stories with Spotify,Spotify,10,Michael Tolan
Spotify,Notify Slack channel of recently added tracks in Spotify playlists,"Slack, Spotify",15,Michael Tolan
Sumo Logic,Make a query in Sumo Logic,Sumo Logic,9,null
Sumo Logic,Create GitHub issues from Sumo Logic alerts,"GitHub, Sumo Logic",10,null
Sumo Logic,Ingest Tines audit logs into Sumo Logic,"Sumo Logic, Tines",7,Aron Day
Sumo Logic,Distributed Alerting Slackbot with 2FA,"Jira Software, Slack, Sumo Logic",99,Jamison Bigham
Zoom,Update Slack Status based on Zoom Meetings,"Slack, Zoom",7,Sabrina de Silva
Zoom,Onboard employees & grant specialized access to specific tools,"GitHub, Google, Zoom",21,null
Zoom,Onboard employees with flexible forms,"GitHub, Google, Zoom",14,null
Zoom,Add video conferencing and meeting notes to new Google Calendar events,"Google, Google Calendar, Zoom",22,null
Any.Run,Analyze suspicious files with Any.run,Any.Run,15,null
Any.Run,Analyze suspicious URLs with Any.run,Any.Run,15,null
Any.Run,Scan a file on Any.run,Any.Run,20,null
Apex Central,Connect with Trend Micro using Java Web Tokens,Apex Central,9,null
Apex Central,Retrieve a list of suspicious objects from Trend Micro Apex Central,Apex Central,3,null
Apex Central,Retrieve a list of Trend Micro Apex Central's managed servers,Apex Central,3,null
Cribl,Conduct IP address search using Cribl,Cribl,14,Igor Gifrin
Cribl,Update a lookup file in Cribl,Cribl,12,null
Cribl,Replay Data with Cribl into Elastic Security and Isolate Hosts Using Elastic Agent,"Cribl, Elastic",20,null
Cybereason,Isolate Machines in Cybereason from Thinkst Canary Alerts,"Cybereason, Thinkst Canary",24,Shaun Finn
Cybereason,Retrieve & enrich IOCs across multiple platforms,"Cybereason, Jira Software, PassiveTotal, Recorded Future, Slack",14,null
Cybereason,Isolate machines based on malicious Cybereason Malops and track in JIRA,"AbuseIPDB, Cybereason, Jira Software",21,null
Cybersixgill,Submit and analyze IOC with Cybersixgill via Tines Pages,Cybersixgill,12,null
Cybersixgill,Monitor CVE trends via Cybersixgill and alert on impacted assets in Tenable.io,"Cybersixgill, Slack, Tenable Vulnerability Management",6,null
Cybersixgill,Create issues in Jira from alerts in Cybersixgill and notify with Slack and email,"Cybersixgill, Jira Software, Slack",4,null
DataDog,Ingest Tines audit logs into Datadog,"DataDog, Tines",7,Aron Day
DataDog,Search for IOCs and create incidents in DataDog,"Abuse.ch, DataDog",16,Conor Dunne
DataDog,Search for IoCs in a network when a MISP attribute is created,"CrowdStrike, DataDog, MISP",15,Conor Dunne
Devo,Create high severity alerts in Devo SIEM for analysis,Devo,4,null
Devo,Get host log alerts from Devo SIEM,"Devo, Jira Software, Slack",10,null
Devo,Send data to Devo SIEM,Devo,2,null
Google Cloud Storage,Backup Tines stories to Google Cloud Storage,"Google, Google Cloud Storage",24,Michael Tolan
Google Cloud Storage,Export CrowdStrike detections to Google Cloud Storage as CSV,"CrowdStrike, Google Cloud Storage",6,Michael Tolan
Google Cloud Storage,Upload a file to Google Cloud Storage,"Google, Google Cloud Storage",7,Michael Tolan
Harmonic Security,Notify and assign training based on Harmonic Security alerts,"Harmonic Security, Knowbe4, Notion, Slack, Tines",17,Harmonic Security
Harmonic Security,Coach users to use AI safely with Harmonic Security and Teams,"Harmonic Security, Microsoft Teams",8,null
Harmonic Security,Coach users to use AI safely with Harmonic Security and Slack,"Harmonic Security, Slack",9,null
Hunters SOC Platform,Filter Hunters alerts by risk level and create cases via Slack,"Hunters SOC Platform, Jira Software, Slack",8,null
Hunters SOC Platform,Sync Tines case comments with Hunters leads,"Hunters SOC Platform, Tines",7,null
Hunters SOC Platform,Disable AWS User from Hunters Alert with Jira prompt,"AWS, Hunters SOC Platform, Jira Software",13,null
Hybrid Analysis,Lookup IOCs in different tools via Slackbot,"Abuse.ch, AbuseIPDB, Anomali ThreatStream, CrowdStrike, Hunter.io, Hybrid Analysis, MetaDefender, Pulsedive, Slack, URLScan.io, VirusTotal",66,Emily Nguyen
Hybrid Analysis,Analyze a file in Hybrid Analysis,Hybrid Analysis,32,Martin Moroney
Hybrid Analysis,"Analyze, document and triage suspicious emails with Tines cases and records","AlienVault OTX, Anomali ThreatStream, CrowdStrike, Hybrid Analysis, NextDNS, PassiveTotal, VirusTotal",113,Rosie Halpin
Jira Service Management,Manage Qualys vulnerabilities using Jira Service Management and Slack,"Jamf Pro, Jira Service Management, Qualys, Slack, Tines",81,Caleb Williams
Jira Service Management,"Synchronize MFA group memberships in Okta, Duo & Jira","Duo Security, Jira Service Management, Okta",62,Caleb Williams
Jira Service Management,Send assets to Asset Register in Jira Service Management,Jira Service Management,47,Sid Pillarisetty
Linear,Create Linear issues from Slack message reactions,"Linear, Slack",13,Tines
Linear,Create a task in Linear,Linear,5,Michael Tolan
Linear,Get teams in Linear,Linear,9,Michael Tolan
LogScale,Enrich FalconLogScale (Humio) events with ChatGPT,"CrowdStrike, LogScale, OpenAI",3,@ionstorm
LogScale,Query Falcon Logscale from Slack,"LogScale, Slack",12,Michael Tolan
LogScale,Send Google Workspace security logs to LogScale,"Google, LogScale",6,null
OctoPerf,Onboard users to OctoPerf via Slack or Jira,"Jira Software, OctoPerf, Slack",29,null
OctoPerf,Utilize scenarios in Octoperf and retrieve analysis reports,OctoPerf,44,null
OctoPerf,Offboarding users to OctoPerf via Pages and Jira,"Jira Software, OctoPerf",27,null
Opal,Assign New Okta Administrator Role to Okta from BambooHR through Opal,"BambooHR, Jira Software, Okta, Opal",16,null
Opal,Create custom connectors for Opal using Tines,Opal,43,null
Opal,Track Opal access requests and create cases in Tines,Opal,34,Conor Dunne
PassiveTotal,Retrieve & enrich IOCs across multiple platforms,"Cybereason, Jira Software, PassiveTotal, Recorded Future, Slack",14,null
PassiveTotal,Retrieve domain information with RiskIQ PassiveTotal,PassiveTotal,20,null
PassiveTotal,"Analyze, document and triage suspicious emails with Tines cases and records","AlienVault OTX, Anomali ThreatStream, CrowdStrike, Hybrid Analysis, NextDNS, PassiveTotal, VirusTotal",113,Rosie Halpin
Proofpoint,Investigate Phishing emails with Proofpoint CLEAR and Tines,"Proofpoint, URLScan.io, VirusTotal",86,John Vasanth
Proofpoint,Retrieve Proofpoint events and log issues in Jira,"EmailRep, Jira Software, Proofpoint, URLScan.io, VirusTotal",11,Michael Tolan
